Code FAP 22;Intitulé FAP 22;Code FAP 86;Intitulé FAP 86;Code FAP 228;Intitulé FAP 228;Code FAP 341;Intitulé FAP 341
B;Bâtiment, travaux publics;B6X;Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics;B6X74;Conducteurs de travaux et chefs de chantier non cadres;B6X74;Conducteurs de travaux et chefs de chantier non cadres
B;Bâtiment, travaux publics;B7X;Cadres du bâtiment et des travaux publics;B7X91;Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP;B7X91;Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP
C;Électricité, électronique;C0X;Ouvriers de l'électricité et de l'électronique;C0X30;Ouvriers de l'électricité et de l'électronique;C0X30a;Ouvriers peu qualifiés de l'électricité et de l'électronique
D;Mécanique, travail des métaux;D0X;Ouvriers travaillant par enlèvement de métal;D0X31;Ouvriers qualifiés en conduite d'équipement d'usinage;D0X31;Ouvriers qualifiés en conduite d'équipement d'usinage
D;Mécanique, travail des métaux;D0X;Ouvriers travaillant par enlèvement de métal;D0X33;Régleurs;D0X33;Régleurs
D;Mécanique, travail des métaux;D2X;Ouvriers de la mécanique et du traitement de surface;D2X32;Ouvriers de la peinture et du traitement de surface;D2X32;Ouvriers de la peinture et du traitement de surface
E;Industries de process;E1X;Ouvriers de la métallurgie, du verre, de la céramique et des matériaux de construction;E1X21;Ouvriers peu qualifiés de conduite d'installation de production de métaux;E1X21;Ouvriers peu qualifiés de conduite d'installation de production de métaux
E;Industries de process;E1X;Ouvriers de la métallurgie, du verre, de la céramique et des matériaux de construction;E1X41;Ouvriers qualifiés de conduite d'installation de production de métaux;E1X41;Ouvriers qualifiés de conduite d'installation de production de métaux
E;Industries de process;E2X;Ouvriers des industries chimiques et plastiques;E2X40;Ouvriers qualifiés des industries chimiques et plastiques;E2X40;Ouvriers qualifiés des industries chimiques et plastiques
E;Industries de process;E3X;Ouvriers des industries agro-alimentaires;E3X20;Ouviers peu qualifiés des industries agro-alimentaires;E3X20;Ouviers peu qualifiés des industries agro-alimentaires
E;Industries de process;E5X;Techniciens et agents de maîtrise des industries de process;E5X80;Agents de maitrise et assimilés des industries de process;E5X80;Agents de maitrise et assimilés des industries de process
F;Matériaux souples, bois, industries graphiques;F0X;Ouvriers, techniciens et agents de maîtrise du textile et du cuir;F0X30;Ouvriers, techniciens et agents de maîtrise en traitement du cuir;F0X30;Ouvriers, techniciens et agents de maîtrise en traitement du cuir
F;Matériaux souples, bois, industries graphiques;F0X;Ouvriers, techniciens et agents de maîtrise du textile et du cuir;F0X33;Ouvriers, techniciens et agents de maîtrise de l'habillement;F0X33;Ouvriers, techniciens et agents de maîtrise de l'habillement
F;Matériaux souples, bois, industries graphiques;F1X;Ouvriers et techniciens du travail du bois et de l'ameublement;F1X30;Ouvriers de la réalisation d'ouvrages décoratifs et meubles en bois;F1X30;Ouvriers de la réalisation d'ouvrages décoratifs et meubles en bois
F;Matériaux souples, bois, industries graphiques;F1X;Ouvriers et techniciens du travail du bois et de l'ameublement;F1X31;Ouvriers et techniciens de la scierie, de l'assemblage et de la fabrication d'ouvrages en bois;F1X31a;Ouvriers peu qualifiés de la scierie, de l'assemblage et de la fabrication d'ouvrages en bois
F;Matériaux souples, bois, industries graphiques;F2X;Ouvriers, techniciens et agents de maîtrise des industries graphiques;F2X30;Ouvriers, techniciens et agents de maîtrise de l'imprimerie;F2X30a;Ouvriers de l'imprimerie
F;Matériaux souples, bois, industries graphiques;F2X;Ouvriers, techniciens et agents de maîtrise des industries graphiques;F2X30;Ouvriers, techniciens et agents de maîtrise de l'imprimerie;F2X30b;Techniciens et agents de maîtrise de l'imprimerie
